"Ref","Qty","Value","Purchase Link"
"C2, C3, C7","3","100nF (0603)","~"
"C4","1","150nF (0603)","~"
"C5, C1","2","1.0µF (0603)","~"
"C6","1","2.2.µF (0603)","~"
"FB1","1","Ferrite Bead (0603)","https://www.digikey.com/products/en?keywords=445-2166-1-ND"
"J1","1","RJ45 Jack","~"
"J3, J2","2","Female Header","https://www.digikey.com/products/en?keywords=SSM-114-L-SV-BE-ND"
"J4, J5","2","Mono Audio Jack","https://www.digikey.com/products/en?keywords=CP-3523MJCT-ND"
"R1","1","100Ω (0603)","~"
"R3, R2","2","2.2KΩ (0603)","~"
"U2","1","AP7313","https://www.digikey.com/product-detail/en/diodes-incorporated/AP7313-18SAG-7/AP7313-18SAG-7DICT-ND/2270838"
"U3","1","SGTL5000","https://www.digikey.com/products/en?keywords=SGTL5000XNAA3R2CT-ND"
